,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0,1,2,3,4,5,6
57,57.0,57.0,57.0,4/21/1994,5.37,5.37,5.37,5.37,1.13%,,,,,,,,,,,,,,,,,,,,,
58,58.0,58.0,58.0,4/22/1994,5.37,5.37,5.37,5.37,0.00%,,,,,,,,,,,,,,,,,,,,,
59,59.0,59.0,59.0,4/25/1994,5.37,5.37,5.37,5.37,0.00%,,,,,,,,,,,,,,,,,,,,,
60,60.0,60.0,60.0,4/26/1994,5.31,5.31,5.31,5.31,-1.12%,,,,,,,,,,,,,,,,,,,,,
61,61.0,61.0,61.0,4/27/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
62,62.0,62.0,62.0,4/28/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
63,63.0,63.0,63.0,4/29/1994,5.34,5.34,5.34,5.34,1.71%,,,,,,,,,,,,,,,,,,,,,
64,64.0,64.0,64.0,5/2/1994,5.31,5.31,5.31,5.31,-0.56%,,,,,,,,,,,,,,,,,,,,,
65,65.0,65.0,65.0,5/3/1994,5.3,5.3,5.3,5.3,-0.19%,,,,,,,,,,,,,,,,,,,,,
66,66.0,66.0,66.0,5/4/1994,5.31,5.31,5.31,5.31,0.19%,,,,,,,,,,,,,,,,,,,,,
67,67.0,67.0,67.0,5/5/1994,5.38,5.38,5.38,5.38,1.32%,,,,,,,,,,,,,,,,,,,,,
68,68.0,68.0,68.0,5/6/1994,5.38,5.38,5.38,5.38,0.00%,,,,,,,,,,,,,,,,,,,,,
69,69.0,69.0,69.0,5/9/1994,5.38,5.38,5.38,5.38,0.00%,,,,,,,,,,,,,,,,,,,,,
70,70.0,70.0,70.0,5/11/1994,5.31,5.31,5.31,5.31,-1.30%,,,,,,,,,,,,,,,,,,,,,
71,71.0,71.0,71.0,5/12/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
72,72.0,72.0,72.0,5/13/1994,5.19,5.19,5.19,5.19,-1.14%,,,,,,,,,,,,,,,,,,,,,
73,73.0,73.0,73.0,5/16/1994,5.25,5.25,5.25,5.25,1.16%,,,,,,,,,,,,,,,,,,,,,
74,74.0,74.0,74.0,5/17/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
75,75.0,75.0,75.0,5/18/1994,5.31,5.31,5.31,5.31,1.14%,,,,,,,,,,,,,,,,,,,,,
76,76.0,76.0,76.0,5/19/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
77,77.0,77.0,77.0,5/20/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
78,78.0,78.0,78.0,5/23/1994,5.37,5.37,5.37,5.37,2.29%,,,,,,,,,,,,,,,,,,,,,
79,79.0,79.0,79.0,5/24/1994,5.25,5.25,5.25,5.25,-2.23%,,,,,,,,,,,,,,,,,,,,,
80,80.0,80.0,80.0,5/25/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
81,81.0,81.0,81.0,5/26/1994,5.31,5.31,5.31,5.31,1.14%,,,,,,,,,,,,,,,,,,,,,
82,82.0,82.0,82.0,5/27/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
83,83.0,83.0,83.0,5/30/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
84,84.0,84.0,84.0,5/31/1994,5.37,5.37,5.37,5.37,1.13%,,,,,,,,,,,,,,,,,,,,,
85,85.0,85.0,85.0,6/1/1994,5.4,5.4,5.4,5.4,0.56%,,,,,,,,,,,,,,,,,,,,,
86,86.0,86.0,86.0,6/2/1994,5.5,5.5,5.5,5.5,1.85%,,,,,,,,,,,,,,,,,,,,,
87,87.0,87.0,87.0,6/3/1994,5.25,5.25,5.25,5.25,-4.55%,,,,,,,,,,,,,,,,,,,,,
88,88.0,88.0,88.0,6/6/1994,5.28,5.28,5.28,5.28,0.57%,,,,,,,,,,,,,,,,,,,,,
89,89.0,89.0,89.0,6/7/1994,5.31,5.31,5.31,5.31,0.57%,,,,,,,,,,,,,,,,,,,,,
90,90.0,90.0,90.0,6/8/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
91,91.0,91.0,91.0,6/9/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
92,92.0,92.0,92.0,6/10/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
93,93.0,93.0,93.0,6/13/1994,5.31,5.31,5.31,5.31,1.14%,,,,,,,,,,,,,,,,,,,,,
94,94.0,94.0,94.0,6/14/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
95,95.0,95.0,95.0,6/15/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
96,96.0,96.0,96.0,6/16/1994,5.31,5.31,5.31,5.31,1.14%,,,,,,,,,,,,,,,,,,,,,
97,97.0,97.0,97.0,6/17/1994,5.25,5.25,5.25,5.25,-1.13%,,,,,,,,,,,,,,,,,,,,,
98,98.0,98.0,98.0,6/20/1994,5.37,5.37,5.37,5.37,2.29%,,,,,,,,,,,,,,,,,,,,,
99,99.0,99.0,99.0,6/21/1994,5.31,5.31,5.31,5.31,-1.12%,,,,,,,,,,,,,,,,,,,,,
